,T_PV,I,T_mt,Do_am
114000,26.5,22.5,30.3,71.2
114060,26.5,25.83,30.3,71.5
114120,26.5,25,30.3,71.2
114180,26.44,23.33,30.3,71.3
114240,26.44,21.67,30.2,71.3
114300,26.44,21.67,30.2,71.2
114360,26.44,18.33,30.2,71.3
114420,26.44,15.83,30.2,71.3
114480,26.44,16.67,30.2,71.3
114540,26.5,15.83,30.2,71.2
114600,26.44,15,30.2,71.2
114660,26.5,13.33,30.2,71.2
114720,26.5,15.83,30.2,71.2
114780,26.44,17.5,30.3,71.2
114840,26.5,16.67,30.2,71.2
114900,26.5,15,30.3,71.2
114960,26.5,13.33,30.3,70.9
115020,26.44,12.5,30.2,71.1
115080,26.44,11.67,30.2,71.1
115140,26.44,10.83,30.2,71.1
115200,26.37,8.33,30.2,71
115260,26.44,8.33,30.2,71
115320,26.44,8.33,30.2,71.1
115380,26.44,6.67,30.2,71.1
115440,26.44,5.83,30.2,71
115500,26.37,5,30.2,71.1
115560,26.37,4.17,30.2,71.1
115620,26.37,3.33,30.1,71.2
115680,26.37,3.33,30.1,71.1
115740,26.37,2.5,30.1,71.1
115800,26.37,1.67,30.1,71.1
115860,26.37,1.67,30.1,71.2
115920,26.31,0.83,30.1,71.3
115980,26.31,0.83,30.1,71.3
116040,26.31,0.83,30.1,71.3
116100,26.31,0,30.1,71.4
116160,26.31,0,30.1,71.3
116220,26.31,0,30.1,71.3
116280,26.31,0,30.1,71.2
116340,26.37,0,30.1,71.2
116400,26.37,0,30.1,71.2
116460,26.37,0,30.2,71.2
116520,26.37,0,30.1,71.2
116580,26.37,0,30.1,71.2
116640,26.37,0,30.1,71.2
116700,26.31,0,30.1,71.2
116760,26.31,0,30.1,71.2
116820,26.31,0,30,71.3
116880,26.25,0,30,71.5
116940,26.31,0,30,71.5
117000,26.31,0,30.1,71.5
117060,26.31,0,30.1,71.4
117120,26.31,0,30.1,71.4
117180,26.31,0,30.1,71.4
117240,26.31,0,30.1,71.5
117300,26.31,0,30.1,71.4
117360,26.31,0,30.1,71.3
117420,26.31,0,30.1,71.4
117480,26.31,0,30.1,71.3
117540,26.31,0,30.1,71.3
117600,26.31,0,30.1,71.2
117660,26.25,0,30.1,71.3
117720,26.31,0,30.1,71.4
117780,26.31,0,30.1,71.4
117840,26.25,0,30.1,71.3
117900,26.31,0,30.1,71.2
117960,26.31,0,30.1,71.2
118020,26.25,0,30,71.3
118080,26.25,0,30.1,71.3
118140,26.25,0,30,71.2
118200,26.25,0,30,71.2
118260,26.25,0,30,71.2
118320,26.19,0,30,71.3
118380,26.19,0,30,71.3
118440,26.19,0,30,71.3
118500,26.12,0,29.9,71.3
118560,26.12,0,29.9,71.4
118620,26.06,0,29.9,71.4
118680,26.06,0,29.9,71.4
118740,26.12,0,29.8,71.6
118800,26.06,0,29.9,71.7
118860,26.06,0,29.9,71.7
118920,26.06,1.67,29.8,71.8
118980,26.06,2.5,29.8,71.8
119040,26.06,2.5,29.9,71.9
119100,26.12,2.5,29.9,71.9
119160,26.12,2.5,29.8,71.8
119220,26.06,2.5,29.8,72
119280,26.06,2.5,29.8,72.2
119340,26.12,2.5,29.8,72
119400,26.12,2.5,29.9,72
119460,26.12,2.5,29.8,71.9
119520,26.12,2.5,29.8,72.1
119580,26.06,2.5,29.8,71.9
119640,26.06,2.5,29.8,71.9
